issue_no,pull_no,actor,created_at,event
23390,23298,bricelam,2020-11-19 00:23:04,connected
23386,23388,roji,2020-11-19 00:03:25,connected
19007,23147,roji,2020-10-30 12:38:42,connected
19007,23126,roji,2020-10-30 12:38:28,connected
19007,23133,roji,2020-10-30 12:38:18,connected
23089,23083,ajcvickers,2020-10-24 04:45:13,connected
15520,23060,roji,2020-10-20 14:51:07,connected
23016,23060,roji,2020-10-20 14:50:39,connected
23016,23053,roji,2020-10-20 14:50:27,disconnected
23016,23053,roji,2020-10-20 14:50:27,disconnected
15520,23053,roji,2020-10-20 14:50:27,disconnected
15520,23053,roji,2020-10-20 14:50:27,disconnected
23016,21190,roji,2020-10-20 07:38:57,connected
23016,23053,roji,2020-10-20 07:38:45,connected
15520,23053,roji,2020-10-20 07:35:34,connected
18831,23052,roji,2020-10-20 07:34:38,connected
20228,22273,roji,2020-08-27 15:02:50,connected
18016,21912,roji,2020-08-04 15:05:25,connected
21165,21390,AndriySvyryd,2020-06-23 22:09:23,connected
20612,20663,maumar,2020-05-13 05:13:51,connected
20731,20774,smitpatel,2020-04-28 21:20:34,connected
